tag,text,geo,mentions,hashtags,id,permalink
1,শালা বিজেপি চাড্ডি আঁটিশেল মানেই মেয়ে কেশে জরিত। লাথি মারি ওদের মুখে। এই মহিলার মতো ওদের দেখলেই জুতা পেটা করা উচিৎ https://www. facebook.com/LaalFouz/video s/266656020937643/ …,,,,1.10807686110665E+018,https://twitter.com/LaalFouz/status/1108076861106647043
0,"এক ভৌমিক চামচা এইমাত্র আমাকে কল করে বোঝাতে চেষ্টা করলো দলের প্রতি তার কত অশেষ অবদান আর কৃপা আর সেই সাথে বহুরূপী ভৌমিকের! তাকে একটা কথাই বললাম, সে যখন হাত ছাপ চাড্ডি পড়তো তখন থেকেই আমি গেরুয়া। চামচাগিরি করে আমার কাছে কোনো লাভ হবেনা।",,,,1.10804016684784E+018,https://twitter.com/TheUltimateDD13/status/1108040166847840256
0,PUBG খেলা বন্ধ কখন করছে চাড্ডি গন? #BoycottChineseProducts,,,#BoycottChineseProducts,1.10613768261334E+018,https://twitter.com/bubka1992/status/1106137682613338112
1,একমাত্র চাড্ডি রাই 'মোল্লা' দের খবর রাখে।,,,,1.10588123310645E+018,https://twitter.com/deba6616/status/1105881233106452482
1,#চাড্ডি __যুগের__শেষের__শুরু #অমিত__শাহের__সভাতে__ঝামেলা__ভাঙচুরের__জেরে #সভা__ছেড়ে__চলে__গেল__অমিত__শাহ । বিজেপি কর্মী ও নেতাদের মধ্যে মারামারি এবং ভাঙচুর করা হলো চেয়ার #মহিলা__কর্মীকে জোর করে সভা থেকে বের করে দেওয়া হলো। https://www. facebook.com/47543702253626 2/posts/2074077489338866/ …,,,#চ #অম #সভ #মহ,1.10444063940665E+018,https://twitter.com/speak2KAZI/status/1104440639406649344
1,সারা পৃথিবীতে ছড়িয়ে গেল জুতো পেটা আর এই আঁটিশেল চাড্ডি কি বলছে বিরোধী চক্রান্ত। কেউ হাসবেন না প্লিজ https://www. facebook.com/LaalFouz/video s/562296697588334/ …,,,,1.10392481360359E+018,https://twitter.com/LaalFouz/status/1103924813603594240
1,উত্তরপ্রদেশের রাস্তায় দুই #কাশ্মীরি___ফলবিক্রেতাকে অমানবিক ভাবে মারধর করলো #গেরুয়া__সন্ত্রাসবাদী__সংগঠনের__সদস্যরা । তারা #আরএসএস (RSS) গোষ্ঠীর লোক বলে জানা গেছে। চাড্ডি মুখ্যমন্ত্রী #ডগি_আদিত্যানাথ বসে বসে গরুর মূত্র পান করছে। https://www. facebook.com/OfficialKAZI/v ideos/1871123409658318/ …,,,#ক #গ #আরএসএস #ডগ,1.10357839539545E+018,https://twitter.com/speak2KAZI/status/1103578395395452928
1,এবার চাড্ডি আঁটিশেল দেখলেই শক্ত কাঁচা বাঁশের ডান্ডা নিয়ে কে** শুরু হোক গেরুয়া গুন্ডাগুলো নিরীহ ফল বিক্রেতাকে আক্রমণ করে নিজেদের হিরো ভাবছে। আশেপাশের লোকজনের শুভবুদ্ধি না থাকলে কী হত বলা যায়না। আবারো ভাবুন। এই দেশটাই আমরা চেয়েছিলাম তো? https://www. facebook.com/LaalFouz/video s/400662750667029/ …,,,,1.10336739801346E+018,https://twitter.com/LaalFouz/status/1103367398013456389
1,উনি চিরহরিৎ ঘাসফুলের ঝোপ এটা মেনে নিয়েও যে প্রশ্নটা উপরে করা হ'ল তার জবাব চাড্ডি জনতা দাবী করছে।,,,,1.10299552400373E+018,https://twitter.com/SreejitDatta/status/1102995524003733504
1,"ভারতের চাড্ডিরা রাম রাজত্ব চায় এতে অবাক হওয়ার কী আছে? চাড্ডি তো এরকমই চাইবে। সব চাড্ডি চাইছে না এটাই বরং অবাক হওয়ার বিষয়। কিন্তু জনাব, ভারতের কমিউনিস্টরা কোন লজিকে তিন তালাক চায়? চার বিয়ে চায়? মুসলমানেরা... https://www. facebook.com/jupiter.joypra kash/posts/2087076094692511 …",,,,1.1029396174421E+018,https://twitter.com/JupJoyprakash/status/1102939617442099205
1,বিজেপি ভক্তদের ভক্তি বিপদের মধ্যে আছে দেখেনিন একদা গান্ডু চাড্ডি ভক্তরা কি বলছে https://www. facebook.com/LaalFouz/video s/2277583879228524/ …,,,,1.10288930382122E+018,https://twitter.com/LaalFouz/status/1102889303821217793
1,"[বায়ুসেনা প্রধান প্রেস কনফারেন্স করে জানালেন,""টার্গেটে আঘাত করা হয়েছে। কতজন মারা গেছে, সেটা গুনতি করা আমাদের কাজ নয়।""] ঠিকই বলেছেন স্যর, গুণতি করাটা চাড্ডি মোদীমিডিয়ার কাজ। কয়েকদিন ধরে ওরা শুধু গুণে চলেছে। বিস্তারে পড়ুনঃ https://www. facebook.com/23291957973303 27/posts/2336956853220888/?app=fbl … pic.twitter.com/iAJwmtRnCX",,,,1.10262254154003E+018,https://twitter.com/THEUPDATENEWSs/status/1102622541540028416
1,পুলওয়ামা কান্ডের পর চাড্ডি আর মিডিয়ার যৌথ উদ্দ্যোগে যে ভাব গুজব ছড়িয়েছে তা এক নিদর্শন হয়ে থাকবে। এ ঘটনার কারা তা জানা আগে জরুরী।,,,,1.10244792362997E+018,https://twitter.com/SaidulI68754680/status/1102447923629969409
1,দেখুন ওরা বিজেপির পতাকা নিয়ে কি মিছিল বের করলে? পাকিস্তান মুর্দাবাদের সাথে সাথে #IndianArmy কে স্লোগান দিলো #মুর্দাবাদের । এই আঁটিশেল চাড্ডি #RSS #দেশদ্রোহী #BJP দেশের মধ্যে যাখুশী তাই শুরু করে দিয়েছে। শুরু হোক এই... https://www. facebook.com/LaalFouz/video s/814108118923768/ …,,,#IndianArmy #ম #RSS #দ #BJP,1.10242832706585E+018,https://twitter.com/LaalFouz/status/1102428327065853953
0,"আজ শিবরাত্রি, আজ দুধের অপচয় নিয়ে জ্ঞান দেবার দিন! কিন্তু দুধের উৎস গোরক্ষার কথা বললে তুমি সাম্প্রদায়িক, তুমি চাড্ডি , তুমি ভক্ত, তুমি গোসন্তান!",,,,1.10240966333584E+018,https://twitter.com/DebasisMistri/status/1102409663335841792
1,দেখুন আঁটিশেল চাড্ডি দেশদ্রোহী মালগুলো সেনাদের নিয়ে কিরকম রাজনীতি করে ভোট চাইছে https://www. aajkaal.in/news/title/bjp -mp-in-army-s-dress-ok1d …,,,,1.1024081768911E+018,https://twitter.com/LaalFouz/status/1102408176891097091
